asin,rating,title,text,verified_purchase,label
B00004U8G0,5,,if you love listening to motivational tapes want to switch to listening to talk radio and then relax with a cd then this is the baby boombox for you with a remote control what more could you ask for i found this to be very reasonable it makes you almost want to buy two my husband steals mine to take with him when he does open houses in real estate so i just might have to get him one for his birthday i need my entertainment while working on my computer yes i need to get better speakers for my laptopi knowthe rebecca review,True,2000-10-07 14:21:50.000,ease of use
B00004WGNF,5,,im just an amateur when it comes to photography all i really want is an easytouse pointandshoot camera that i can take on vacations to snap shots of places i find interesting to use around the house to take photos of valuables for insurance purposes etc in other words my expectations are pretty minimalthat said im extremely happy with the kodak dc3400 this is my second kodak digital my first was a dc240 so obviously im pleased with the kodak product lineafter unpacking the dc3400 i spent about 10 minutes getting it set up and proceeded to take a few pictures another 10 minutes or so and i had the photo software loaded on my laptop connect the usb cable and i was able to load the photos onto the laptop immediately the camera shows up as an icon like a disk drive which you can doubleclick to open and transfer the pictures to a folder on your hard drive piece of cakethe quality of the pictures is amazing i use the ofoto service and had some prints of some of my digital photos sent to my mother according to her you could not tell the difference between the digital images and those taken with a 35mm film camera the colors were vivid the images sharp just what youd expect from the kodak nameill agree with most everyone else and say that batteries might be the only downside to this camera its definitely worth the investment to get the kodak nimh rechargables and the charger the only time i use nicads is when im my nimh set is in the recharger and i need to snap a few picturesfor the money i dont think you can top this camera in terms of features quality and ease of use,True,2001-08-11 00:26:51.000,ease of use
B00003G1RG,5,,if you can get only one addon for your digital camera let it be this onei took my kodak digital camera decked out with this 128mb compactflash card on a 6week road trip i used the quotmiddlequot quality setting for the pictures and managed to take over 130 photos the equivalent of 56 24shot rolls of film filling not anywhere close to half the card at that setting the card will store over 300 photosim not a digital photography technoid by any stretch of the imagination i just like capturing memories of the places i go and the things i see having the extra memory afforded by this little card meant that i could relax and not worry about running out of space for all my photostransferring the photos to my laptop was a piece of cake and took very little time partially a function of the cardi highly recommend this as the first accessoryupgrade you purchase for your camera,True,2001-12-06 18:30:01.000,ease of use
B00000J4BC,2,,this is an ok unit and if you want the nifty remote control learning feature it switches source whenever it detects you using a remote for a differnt source but it forces you to have all svhs or all compositerca connection not a mixture as is the case for nearly all of us for example your dvd player will have svhs but your vcr is 99 likely to only have compositerca this box does not convert compositerca to svhs if you get stuck dont scarafice your digital sources quality,False,2001-12-12 01:46:38.000,Price
B00004WGNF,4,,the camera is very easy to use and takes very nice pics it has nice options like sepia modegives the photo a old fashion look like brown tone and bw mode i bought a 32mb memory card a few days later the 8mb it came with will hold about 25 pics on middle resolution and with the 32mb card it will hold about 77 pics at the same resolutioni would say the only negative things about this camera are the readytoshoottime after turning it on is about 5 or 6 seconds mainly due to extending the lens out and it takes about the same time to store pics in the memory card after each shot but then again how often do you need to take rapid fire shots anywayoh yeah one more thing is that i highly recommend buying an hp photosmart printer they have a memory card slot built in so you can bypass your computer if you want or you can download the pics into your computer that way also,False,2001-12-12 20:33:53.000,ease of use
B0000507JG,1,,this product worked fine for a few months of light use then during playback the optura pi started adding image and audio noise to the tapes one treasured video partially ruined,False,2001-12-27 06:59:56.000,noise
B0000632S9,5,,with features like builtin ethernet networking no more relying on a phone line the ability to send shows to your friends and receieve shows too missed friends last week someone out there will send it to ya the fastest processor found in a dvr sleek attractive design a great remote and commercial advance no more commercials ever dont even consider getting a tivono monthly subscription fees to pay for a failing company to try and stay in business a few more weeks tivo no more phone line hassles tivo no more cartoony nonsense that looks like something your 5 year old should play with tivo and no more need to hack the unit to get the features you want tivoso much more than a vcr it offers you a completely new way to watch television forums abound for the replaytv so tips tricks and advice are just a moment awaybuy more than one and watch the shows from either at either location the beauty of the ethernet porti know this sounds like an advertisement but anyone reading this review is asking my personal opinion replaytv is the best high end piece of equipment in your stereo home theater systemdid i mention it has a vga output for your projector or progressive input tveveryone who owns it loves it dont get stuck with a brick when tivo goes out of business replaytv is owned by a huge company sonicblue who also owns govideo rio and diamond multimedia makers of video cards sound cards etc,False,2002-03-06 01:41:37.000,speed
B000067DKI,5,,i researched many cameras in stores and on line i wanted high pixel lots of zoom and movie with sound nikon 5700 with 8x zoom is more expensive and was not available nikon 5000 does not compare in the zoomi was sold on the minolta i am still experimenting with all the amazing features automatic does a great job i recommend reading the manual several times actually i study the manual and then practice on the actual camera i bought an ac adapter and run an extension cord and practice on that and not use up the batteriesplus walk around the rooms taking pictures connected to the ac adapterthis camera is like buying a small computer i love it it is the best buy out there for a 5 pixel with the 60 second movie with sound i love the macro switch for close up work there is even a menu to shoot black and white if you need to do some art work you can change so many variables and even label your files that will come up on the pc when you download in the ldc screen there is a small keyboard that shows up so you type in your own name to a photo file i also bought a compact flash reader that connects to your usb and i dont even have to download from the camera plus with my printer i can just put in the card and print directly i also bought a compact flash card with more mb it comes with sanyo rechargeable batteries and the recharger i cant say enough about how please i was to find this camera and actually a review like this about a dimage 7 helped me realize the dimage 7i is the newer model with sound for the movie the investment of 1000 is worth it this cameras technology will be around for a long time have fun,False,2002-06-20 21:05:28.000,ease of use
B00006B7LO,5,,this device is a no frills highvalue peripheral that you can literally plug in and use to transport files or extend your file systemunlike some other usb flash memory devices that come with password protection and additional utilities this one is simply storage with no features beyond that the value stems from the cost which is among the least expensive of the devices i considered one unique feature that i especially like is that it does not require drivers for windows 98 all other usb flash drives i considered required them although i havent tested it the manufacturer claims that it is compatible with all versions of windows from 98 to xp and also for the mac osi initially purchased mine to use for transporting files but found that the best use for me was to use it as file system extension for my email client this works remarkably well for me because i use both an ibm thinkpad and a sony viao laptop both of which are running windows 98 se and synchronizing email between the two machines is a chore i now have my email client configured to store my email on the flash drive and plug the flash drive into whichever of the laptops i happen to be using at the time this alone makes the flashdrive invaluablenote that on some systems with sidebyside usb ports that the flashdrive may prevent you from using the other port because of its width my thinkpad has a port in the rear and one on the right side so that didnt pose problems but the sony laptops usb ports are close together and when the flashdrive is plugged i couldnt squeeze the connector for my mouse into the adjacent port i solved this by purchasing a miniusb hub that is powered by the usb port but this is something you need to know before purchasing this particular flashdrivedespite that minor problem i am pleased with the device and am especially happy that i now have a solution to the email synchronization problem that has plagued me for years,False,2002-10-04 10:46:01.000,storage
B00006B7CT,5,,through no fault of this excellent product i was only able to use it for a week i inherited an old lexmark z11 inkjet that i wanted to share between two laptops in my corporate apartment but wound up replacing the lexmark with an usbonly printerwhat makes this such an excellent product is the ease of installation and the fact that it flawlessly works installing it consisted of attaching the device directly to the printers parallel interface connecting an ethernet cable to the rj45 port on the other side of the print server running the cd rom installation and being able to immediately print to a shared printerone of the things i most like is the installation and configuration utility that ships with this device you get an administration program you can also access and administer the print server through a browser or through a telnet session and an add printer wizard that makes configuring other computers on your network easy in fact the add printer wizard is a quantum improvement over dlinks earlier pocket print server products i own an older model and setup and configuration was somewhat confusing which is no longer the case with their newer software i also link the small power supply which takes up little space in a power strip or on an upsoverall this is a high quality product that has a plethora of features it supports windows networking appletalk and tcpip and it can be managed via browser of by using tcpip telnet and can be installed and configured by a novice,False,2002-10-12 17:24:17.000,ease of use
