asin,rating,title,text,verified_purchase
B07N69T6TM,1.0,,these didnt work idk if they were damaged in shipping or what but the lenses were loose or something i could see half a lens with its edge in the frame and the rest was missing it looked like it came loose or was broken,True
B01G8JO5F2,5.0,,i love these they even come with a carry case and several sizes of ear bud inserts thank heaven i get ear pain from most but the smallest buds fit great they also have a charger and all of it fits in the carry case i just wish they came in more colors preferably something bright when i leave them on my nightstand it takes a while to figure out which of half a dozen black cables are the right ones even white would be ok as only my iphone has a white cord,True
B001OC5JKY,5.0,,i was searching for a sturdy backpack for school that would allow me to carry my laptop as well as schoolbooks after reading many of the reviews of this bag i placed my order and crossed my fingers i shouldnt have worried its a great bag solidly built and travelerfriendly with a ton of compartments for every little thing one might need to stow away while this backpack is slightly larger than your average backpack it is comfortable to wear trekking cross campus also another aspect of this bag that i love is that it stands upright i know that sounds kinda crazy but i find it annoying when your backpack flops over next to your desk and stuff kind of just falls out or if you need to grab something quickly out of the bag you have to awkwardly curl your body around the side of your chair and then on the way up smash your head against the desk so yeah lazy girl points to self loves the convenience of a bag that stands upright for easy grabbage i plan to travel with this backpack when i fly home this christmas instead of bringing a bulky tote bag on the plane,True
B013J7WUGC,5.0,,ive bought these headphones three times because i love them so much and overuse them and find ways to break the plug to where i cant use my warranty the sound and bass are awesome hands down my favorite headphones in this price bracket,True
B072DSHKCH,5.0,,light weight quiet and totally awesome it doesnt come with a charging base but the cord ends in a usb so you can plug it into a phone charger or portable charger anything with usb its so light and works great its really quiet also,True
B07BHHB5RH,5.0,,update 2they sent a new warranty replacement good companyupdate was 5 star until they left headphone died after 15 years will contact supportoldlove them a bit noisy when youre jogging but solid for biking or chilling around the house,True
B07BND376H,5.0,,these are fantastic headphones and i love that i can have my cell phone plugged in at a central location in my house and walk around the house and still listen to music or my book the range for me is about 30 and the headphones will disconnect if i go outside and then reconnect when i get close to my phone again if my phone is in my pocket it will stay connected where ever i go i love listening to things without being attached or tethered to my phone it also makes it harder for my kids to pull the earphones out of my ears when there is no long cord attached to my phone i love the 1 click pause feature so i can quickly pause what i am listening to talk to someone i dont have to go find my phone and swipe and pause they are comfortable and stay on really well for my ears i have taken them running and they stayed on as well i had an issue about 1 year after i bought the headphones and the customer service was wonderful and understanding really great product and i will continue to purchase and recommend these to my friends,True
B00WK47VEW,5.0,,yes so good just buy it my favorite feature is it auto connects and remembers my devices,True
B00L0YLRUW,1.0,not sure why this has good reviews my devices had a hard time connecting,this devices brought my wifi network to its knees not sure why this has good reviews my devices had a hard time connecting and even if my devices werent connected it would hog a bunch of bandwidth and slow the whole network i personally would just buy an airport extreme that solved range problems for me,True
B004S2JX7W,5.0,,legit love them i play with 1 in fully and 1 ear in 12 really nice good product buy rechargeable batteries to go with them youll save,True
B00PVCXB4Y,5.0,stronger wifi to my upstairs level it works great great value for the price,bought to get stronger wifi to my upstairs level it works great great value for the price,True
B00TYFCJ8S,5.0,,this is the 3rd sony blu ray player i have bought have been impressed with them all my kids love the wi fi streaming options,True
B007Y2YVHU,5.0,,love otterbox cases these have protected my 7 9 year olds ipods with lots of drops wear tear,True
B08C78SQPM,5.0,,it came in quickly my son and grandson put it together for me in about 3 or 4 hr time out for dinner and couple of beers back to putting it to finish and test it out tv hung perfectly fit right in the same corner a much smaller stand was in clean looks with the wires now,True
B014I8UQJY,5.0,,just a normal cable works great for my external monitor,True
B0093162RM,5.0,,i love this alarm bright nice tone the system is a little confusing but the manual helps a lot once you get the hang of it youll love it its a nice gentle way to wake up,True
B07FCZY1ZB,5.0,,works great with my pixel 2 i can charge quickly while listening to music,True
B00RH29CJO,5.0,,works flawlessly great for musicpodcasts and receiving calls the microphone isnt set up that close to my face but still captures my voice clearly,True
B01976K5B6,5.0,,i am not sure how much protection this provides certainly less than a camera bag but it will protect against scratches and small bumps its fairly thin it fits my canon eos rebel t6i w kit lens very well like a glove,True
B013KPXNSW,5.0,,awesome product fits well on my mac would definitely recommend,False
B001PL3XJS,4.0,,i believe the electrical boxes are made especially to fit in a recessed in wall tv mount fixture that is perhaps why it is made narrower in the comments i am not seeing anyone using it for this i would love to hear if someone used it placed inside a recessed mount and how it worked,False
B004XC6GJ0,5.0,dont know why i didnt get one of these years,dont know why i didnt get one of these years agoits saving me 9 a month rental fee i was paying comcast,True
B07V1SQ966,5.0,,worked great for a vacation monitor had no issues with my macbook good resolution no dead pixels very easy to carry around,True
B07Q9MJKBV,5.0,,this has been a great headset for video conferencing all day comfort is great mic quality is great and when i do play music it sounds great too,True
B07PQ334GJ,5.0,,can easily hold 2 pairs of headphones and looks great,True
B07ZK3M6XK,5.0,,sound quality of my dt 990 much improved compared to just hooking up to my phone would recommend to everyone small and easy to use,True
B078LLS33F,5.0,,these are incredible value for the money all of the included parts have worked for a few months and are still in great quality we use them at lunch for an hour each day with smash,True
B00V3KM73E,5.0,,stick great to my desk and provide ample spaces for all of my cords the color coding is more useful than i thought originally since each one has two spots i had enough for my desk and bed night stand,True
B012ASFKOU,5.0,,this pair is fantastic for the price i paidjust over 50 there are a little long and tall which forced me to move my two fans around them but that is more case design flaw than anything i havent had any issues with them and have used pny for a long time,True
B001FWYGJS,4.0,,had for about a month now still running strong and keeping my twc ultimate internet on all 8 of my houses devices goes through three rooms and ill lose just a small fraction of speed 10mbps loss for a ranch style house,True
B00CPZJP7M,5.0,,very easy to configure fits my 11634 alienware very well i can focus air on my gpu and wasd keys to prevent from getting hot easy recommendation to anyone who needs a cooler for intense applications my wasd keys barely get hot and my gpu runs much more stable,True
B07TVSLDND,5.0,,everything works great on the hub with my samsung galaxy pro s5e,True
B00RBGYGPG,5.0,,must visually confirm that connector is fully extended by looking at slide groove mine seemed doa until i realized that it wasnt making electrical connection,True
B007EVDJV0,5.0,,any small screw dropped in my computer case seemed to end up inside the bottom mounted power supply this filter will keep them out,True
B000EY5F5C,5.0,5 stars but be careful that you get what you paid for,bought four of these to use in a raid all four of the boxes had pn 98d648 550 on the box when i installed one of the drives it was smaller than the others pn on smaller drives label was 98j146 308 and it was called a barracuda 720010 larger drives were barracuda 720011 9bx154 303 on the drive label returned it and will check the replacement when it arrives7308 received replacement drive and it was barracuda 720011 9bx154 303,True
B07RJHQSGB,5.0,,thin material but perfect to hang for a photo backdrop very happy,True
B07TZJ1CMC,5.0,,this product is as good as advertised the cost is attractive considering you will likely replace them again in the future ive attached a pic of the old and newly installed pads for comparison,True
B06VTQK7CB,5.0,,fits my macbook air perfectly has a soft touch great product,True
B0776DSP7Y,1.0,,do not buy this product the first time i zipped the first pouch the zipper broke i tried another one same thing zipper broke on the first try horrible,True
B00N2BVOUE,2.0,,not very accurate in tracking steps taken wrist band started coming off after 3 months of use,True
B00PQBDQPO,5.0,,great case fits both the ipad air air 2 comes with a removable inner lining when removed it fits the ipad air looks good bought it in december 2014 still in great shape,True
B00CRF9V2O,5.0,,awesome sound easy to install the wireless subwoofer makes it easy to place any where in the room,True
B00852JEPW,4.0,,arrived sooner than the original really long estimated date packaged well remote wall bracket included no ceiling or wall mounting hardware included for the screen very quiet operation moves very slowly updown but no big problem as the projector is usually getting up to temperature high vinyl odor but thats fading since installed 4 days ago does hideaway nicely and seems unobtrusive worthy purchase,True
B07YB8HZ8T,2.0,,this cameras seems to focus on what it wants i will try to capture and watch an area by moving the cameras visual area using the app but it will quickly return to another area not even the same area as was before i decided to look elsewhere it tends to bounce anywhere its little heart desires causing me frustration and non use,True
B06XJ1YZSH,5.0,,a little crackly at times but not that noticeable just turn the volume up easy connect use everyday,True
B072MBPWMV,1.0,,to me this was a waste of money not useful on a plane or really anywhere too short once bent leaving no surface space so phone wants to fall off dont buy it save your money,True
B01EMYUOLE,5.0,,works great son uses it to hold beats and jaybirds traveled well and protected items,True
B071ZYHCM6,4.0,,my son likes itholding up well considering how much weight he puts in itso far so good,True
B08215Z1M5,5.0,,very sturdy and well made my airpods fit snugly into the case and the cases latching button is magnetic and closes easily and is very secure the charging light is visible as there is an opening for it built into the case so you can see when it is light up red or green and the charging port is accessible so you dont have to remove them to charge them they clasp onto my purse sturdily and i have no worries about them becoming dislodged from my purse and getting lost if you want to use a different clasp its interchangeable with one of your choosing of the same size great quality for a great price highly recommend,True
B07TPLH5YK,2.0,,the projection screen itself is not wrinkle free and the stand is super flimsy im just going to end up using some heavy duty velcro strips to hang the screen without the stand,True
B07FPQ343D,2.0,,just brought this tv in march and the panel is screwed turns out its a manufacturers defect trying to get this tv replaced or repaired has been hell i had been calling support since march and finally got through at the end of july ive been transferred to 3 different departments just to get the exchange finalized no one has made any effort to contact me about when or how this exchange will take place terrible,True
B0061F6QUG,1.0,,horrible it did not amplify anything all i heard was a buzzing sound im so disappointed,False
B09DRXBKVG,5.0,,i purchased this for my nana who is 94 yrs old and doesnt have cable it was simple to set up follow instructions on tv settings to setup and my nana now has more stations and way better quality visually as well as for listening because the stations no longer go in and out definitely worth the money,True
B09TB71VLY,5.0,,pretty cool designstill figuring out how to get the mp3s added for swimming,True
B002N3MM6W,5.0,,i needed this for work and it was easy to install i use it daily have only had it a few weeks but so far so good it comes with a long cord too which is a good feature,True
B07J2GSF3S,5.0,double din car stereo android 90 quad core 7 inch hd,came as advertised delivered before dateofdelivery good value for moneyradio standard depending on your car may need install kit for your cari needed kit for my 2013 toyota suggest you measure area opening of dash where radio is to be mounted,True
B07Q585X37,4.0,asurion 3 year portable electronic accident protection plan with tech support 202999,nice to have an accident plan just in case of the unexpected,True
B07P97SHQP,4.0,asurion 2 year portable electronic accident protection plan with tech support 15017499,good to have security just in case not expecting any trouble tho,True
B07B3TX6MF,5.0,toto a6 double din android car navigation stereo with dual bluetooth standard a6y2710sb,excellent radio even tho i worked at an auto repair shop installation was easy even for a novice usercustomer service is awesome i had not registered my radio yet and they replied to my question within aweek or so sorry no picture because im waiting on a radio dash install kit for aftermarket radio right now there is a gap on the sides but that does not bother me nor does it affect the operation of the unit there are several models of the a6 depending on what options youre looking for one of the a6s will have iti recommend purchasing this radio,True
B07WPY2W4Y,4.0,double din car stereo gps navigation for car 62 inch touch screen,this item was gift friend likes it so far still testing likes the knob controls,True
B083Z3QCY6,4.0,,easy install all options worked just screen is a little dark even more when lights are turned on i would recommend buying this unit,True
B07547WSQQ,4.0,,this was a gift my friend says he liked it it was what he thought it was he likes the idea of open computer,True
B07P7KG4TJ,4.0,,looks like original wouldnt tell the difference if it didnt say replacement,True
B01LYC6A8M,4.0,,havent used any yet needed some extra cables when im ready to install more ssds,True
B016498CK0,5.0,,perfect fit in 35 slot the dual holder allows to install extra ssd any time or you can go with a hdd for more storage space,True
B0781Z7Y3S,5.0,,easy install in my hp computer perfect fit no problems with clean install win 10very satisfied,True
B0791DC3PW,5.0,,using this addlink in a desktop and my laptop easy install perfect fits did help increase speed of my computers,True
B07C9RSZFM,5.0,,used once to test it out worked great i liked it,True
B000Q85WOK,5.0,,great hard drive for the price installed with no issues in wifes dell computer shes very satisfied,True
B079Y46M3N,5.0,,works perfectly glad i browsed through amazon and found it,True
B074V4CWFD,5.0,,great camera i am really pleased just what i was looking for,True
B000FKP7TY,5.0,,good wiring kit everything we needed to install amp and subs,True
B00X4XEBTQ,5.0,,perfect fit this shade of blue matches the lavender tablet,False
B0032FOKME,5.0,,worth the money very good backup amp like all the extras,True
B002WBX7TQ,5.0,,tried two other routers they worked for a while but begain to loose their continuity i read upom the tplink router and liked the specs and the price wasnt bad either connected the first time and have not expirienced any problems even when we lost power router came back up with noooo problems,True
B000V0DY7U,4.0,,i use this cable to connect my satelite box to the tv works great clear picture and sound even had a little bit extra which is good,True
B0002MQGK4,4.0,,i use this in conjuction with the hde vga racsvideo adapter did not have to rearange any furnishings in my bedroom this cable allowed me to connect my pc to the tv good clear picture,True
B0092TGP4A,4.0,,sometimes in my room i watch movies on my computer this adapter allows me to watch on a bigger screen since the tv im using is an older model this adapter is perfect clear picture,True
B00552PA7G,5.0,,due to the location and arrangement of my computer components this cable was a life saver my printer is kind of far away from the computer this cable was perfect,True
B0031VXJ7G,5.0,,great item for the price already had in mind how i was going to run cable works like a charm,True
B00008VF7L,4.0,,used this cable to connect office wide screen tv to my computer it worked perfectly clear picture did what i expected it to do,True
B000FI2EAG,5.0,,awsome just what i was looking for came on time works great going to have to order more for friends,True
B003UT2C4U,5.0,,monitor is everything i thought it would be and more really like the picturenpicture option no damage in shipping and arived with in the time specificed i would highly recommend this monitor for any computer system especially if you use your computer to watch tv or movies one tiny little thing thoo the monitor speckers arnt that great but i use other speakers anyway a good monitor for the price my friends all thought it costs much more,True
B084JBVY4S,5.0,,good stuff literally a lego fitted to be a key cap probably wouldnt spend another 25 on it for myself but good craftsmanship,True
